Designator,Mid X,Mid Y,Rotation,Layer
C1,14.254,-52.859,-90.0,top
C2,15.9304,-60.2758,180.0,top
C3,2.5908,-34.6964,90.0,top
C4,2.5908,-44.7548,90.0,top
C5,2.5908,-54.7116,90.0,top
C6,12.446,-30.6324,90.0,top
D1,16.9972,-63.9334,-90.0,top
D2,7.62,-35.4,0.0,top
D3,7.62,-45.4,0.0,top
D4,7.62,-55.4,0.0,top
FID1,1.27,-66.8528,0.0,top
FID2,28.4988,-1.27,0.0,top
FID3,1.27,-1.27,0.0,top
J1,25.1356,-17.3228,180.0,top
J2,22.504,-3.5732,-90.0,top
J3,25.1356,-48.2252,180.0,top
J4,6.95,-13.57,0.0,top
J5,6.95,-23.805,0.0,top
R1,12.6284,-40.3622,90.0,top
R10,14.8336,-13.0048,90.0,top
R2,17.048,-36.5522,180.0,top
R3,24.922,-37.3142,0.0,top
R5,18.4196,-28.729,0.0,top
R6,15.5748,-57.7358,180.0,top
R7,14.3048,-48.1346,90.0,top
R8,12.6792,-59.5138,-90.0,top
R9,13.5428,-63.8826,90.0,top
RV1,17.2292,-40.3622,-90.0,top
RV2,17.2292,-32.3866,-90.0,top
SW1,26.3652,-34.6108,180.0,bottom
SW2,27.8884,-61.0302,90.0,top
U1,20.7056,-62.4602,-90.0,top
